city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
Neutral Bay,151.2146223,-33.83261947,80,2,5,500,165,2,1,0,1,Apartment,Entire home/apt,347,0,0,strict_14_with_grace_period,120
Millers Point,151.2049871,-33.86113905,100,8,1,300,35,2,1,1,1,House,Private room,0,0,0,strict_14_with_grace_period,189
Naremburn,151.2008128,-33.82089962,93.41241287,0,10,200,0,2,1,1,1,Apartment,Private room,0,0,0,moderate,40
Mona Vale,151.2953937,-33.67726737,90,2,7,1000,100,6,2,3,4,House,Entire home/apt,0,0,0,moderate,300
Waitara,151.1093756,-33.70570119,100,2,1,0,20,1,1,1,1,House,Private room,364,0,0,flexible,59
Crows Nest,151.2035848,-33.82249389,87,17,1,150,45,2,1,1,1,House,Private room,182,0,0,moderate,40
Randwick,151.2387334,-33.91534731,93.41241287,2,1,0,0,2,2,1,1,Apartment,Private room,0,0,0,flexible,91
Bellevue Hill,151.2579812,-33.88762899,100,1,1,0,0,4,1,2,2,Apartment,Entire home/apt,0,1,0,flexible,175
Coogee,151.2494466,-33.92192402,93.41241287,0,9,0,0,2,1,2,1,Apartment,Entire home/apt,0,0,0,flexible,99
Freshwater,151.2861913,-33.77136483,90,5,5,1000,100,4,1,2,2,Apartment,Entire home/apt,174,1,0,strict_14_with_grace_period,180
Waterloo,151.2119781,-33.89884357,93.41241287,0,3,0,0,2,1,1,1,Apartment,Private room,0,1,0,moderate,150
Clareville,151.3059522,-33.63665129,96,104,1,0,35,2,1,0,1,Cabin,Entire home/apt,359,1,1,flexible,130
Kirribilli,151.2118797,-33.84528055,100,3,3,0,0,2,1,1,2,Apartment,Private room,88,0,0,flexible,80
Cronulla,151.1489779,-34.04627031,77,6,1,150,25,2,1,1,1,Apartment,Private room,362,1,0,strict_14_with_grace_period,67
Waverley,151.2620402,-33.89820183,92,73,2,500,0,1,1,1,1,House,Private room,357,1,1,strict_14_with_grace_period,76
Queenscliff,151.2848049,-33.78328353,99,22,2,250,20,2,1,1,1,Apartment,Private room,178,1,0,moderate,69
Woollahra,151.2555201,-33.88839813,92,18,1,150,115,4,1,1,2,Apartment,Entire home/apt,139,0,0,strict_14_with_grace_period,156
Vaucluse,151.2784102,-33.86396979,93.41241287,0,90,0,310,6,2,3,3,Apartment,Entire home/apt,365,1,0,flexible,320
Bondi Beach,151.2783812,-33.88901951,100,7,2,0,195,5,1,2,2,Apartment,Entire home/apt,90,1,0,strict_14_with_grace_period,175
Rozelle,151.174674,-33.8640513,93.41241287,0,5,2000,200,6,3,3,3,House,Entire home/apt,83,1,0,strict_14_with_grace_period,496
Russell Lea,151.1450677,-33.86104922,60,1,7,500,300,6,2.5,3,3,House,Entire home/apt,185,0,0,strict_14_with_grace_period,401
Cremorne,151.2279101,-33.82220627,40,1,5,1500,279,6,2,3,4,Apartment,Entire home/apt,118,1,0,strict_14_with_grace_period,310
Rose Bay,151.2735813,-33.87480792,93.41241287,0,3,0,0,2,1,1,1,Apartment,Private room,0,0,0,flexible,85
Bondi Beach,151.2729926,-33.89234223,50,2,5,1000,200,4,1,2,2,Apartment,Entire home/apt,330,1,0,strict_14_with_grace_period,451
Mosman,151.2434504,-33.83771881,93.41241287,0,28,2000,387,8,3,4,5,House,Entire home/apt,320,1,0,strict_14_with_grace_period,1501
Edgecliff,151.2331606,-33.87791409,100,2,3,2000,50,2,1,1,1,House,Entire home/apt,0,1,0,strict_14_with_grace_period,135
Sylvania,151.106296,-34.0160777,93.41241287,1,2,0,0,4,1,3,3,House,Private room,173,0,0,flexible,165
Stanmore,151.1652778,-33.89359125,84,31,14,0,60,2,1,1,1,Apartment,Entire home/apt,204,0,0,moderate,80
Sydney,151.1986598,-33.86984739,100,4,3,0,30,2,1,1,1,Apartment,Private room,0,0,0,strict_14_with_grace_period,80
Rose Bay,151.2734895,-33.87439801,93.41241287,0,1,0,0,1,1.352336587,1,2.01216851,Apartment,Private room,365,0,0,strict_14_with_grace_period,161
Cherrybrook,151.0511923,-33.72253749,93,32,1,199,20,6,1,1,6,House,Private room,364,1,0,strict_14_with_grace_period,177
Mascot,151.1889449,-33.92484736,95,4,1,200,30,1,2,1,1,Apartment,Private room,32,0,0,moderate,49
Sydney Olympic Park,151.074127,-33.84747528,84,28,1,500,90,3,1,1,1,Serviced apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,143
Elizabeth Bay,151.2251297,-33.87212026,100,2,2,0,0,2,1,0,1,Apartment,Entire home/apt,7,0,0,flexible,100
Surry Hills,151.212116,-33.88133903,90,3,5,0,50,2,1,1,1,Apartment,Private room,0,0,0,moderate,180
Emu Heights,150.6486525,-33.7314076,93,3,1,0,85,8,2.5,4,6,House,Entire home/apt,358,0,0,flexible,700
North Bondi,151.2704053,-33.8832059,93.41241287,0,1,0,0,2,1,1,1,Apartment,Private room,0,1,0,flexible,67
Bondi,151.2622611,-33.89056826,93.41241287,0,7,200,60,2,0.5,1,1,Apartment,Private room,0,0,0,strict_14_with_grace_period,150
Redfern,151.1982961,-33.89446258,93.41241287,1,5,0,0,2,1,1,1,Apartment,Private room,0,0,0,flexible,69
Zetland,151.2083025,-33.90899289,94,24,2,350,90,5,1,2,2,Apartment,Entire home/apt,134,1,0,strict_14_with_grace_period,144
Sydney Olympic Park,151.0722133,-33.84791847,99,45,2,0,40,2,2,1,1,Apartment,Entire home/apt,245,0,1,flexible,196
Paddington,151.2193449,-33.88592903,98,23,2,300,85,4,1,2,3,Apartment,Entire home/apt,66,0,1,moderate,179
Homebush West,151.0691688,-33.86574245,99,31,2,0,0,2,1,1,1,Apartment,Private room,23,0,1,flexible,42
North Sydney,151.2070007,-33.83888511,98,25,2,500,100,4,1,2,2,Apartment,Entire home/apt,61,0,1,strict_14_with_grace_period,179
Kirribilli,151.2139484,-33.84771384,72,5,1,0,0,2,1,1,1,Apartment,Private room,0,1,0,flexible,50
Crows Nest,151.2027624,-33.82923302,80,1,2,0,0,2,1,1,1,Apartment,Entire home/apt,0,0,0,moderate,86
Redfern,151.1990308,-33.89013839,80,1,1,0,0,2,2,1,1,House,Private room,0,0,0,flexible,85
Coogee,151.252484,-33.92046227,93,11,1,0,0,2,1,1,1,Apartment,Private room,179,1,0,flexible,130
Croydon,151.1184229,-33.8824881,93,8,3,400,50,4,2,2,2,House,Private room,56,0,1,strict_14_with_grace_period,100
Paddington,151.2259975,-33.88473953,93,114,2,200,90,3,1,1,2,Cottage,Entire home/apt,308,1,0,strict_14_with_grace_period,161
Rose Bay,151.2753526,-33.87589451,60,3,3,0,0,5,2,3,3,Apartment,Entire home/apt,0,0,0,flexible,250
Manly,151.2871376,-33.79993098,97,13,1,0,0,2,1,1,1,Apartment,Private room,29,1,0,flexible,87
Rose Bay,151.2770991,-33.87717326,100,1,7,500,100,6,1,3,3,House,Entire home/apt,0,1,0,strict_14_with_grace_period,160
