city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
Bondi,151.2625051,-33.89391947,93.41241287,0,7,0,0,4,1,0,2,Apartment,Entire home/apt,0,0,0,flexible,50
Ryde,151.0982248,-33.82054006,93.41241287,0,1,0,100,2,1.5,1,2,House,Private room,365,0,0,flexible,50
Newtown,151.1815332,-33.90064969,93.41241287,0,4,0,0,1,1,1,1,House,Private room,0,1,0,flexible,60
Rozelle,151.17355,-33.86763273,100,5,3,0,20,2,1,1,1,Townhouse,Private room,173,1,0,flexible,70
Vaucluse,151.2781008,-33.86365668,93.41241287,0,7,2500,280,10,3,5,6,House,Entire home/apt,193,0,0,strict_14_with_grace_period,500
Rockdale,151.1355625,-33.95484478,100,1,5,0,50,2,1,1,1,Apartment,Private room,0,0,0,flexible,50
Manly,151.2905649,-33.8043376,100,2,3,500,120,5,1.5,3,4,House,Entire home/apt,0,1,0,strict_14_with_grace_period,300
Woollahra,151.242679,-33.88630504,93.41241287,0,5,500,242,4,1,2,2,House,Entire home/apt,364,1,0,strict_14_with_grace_period,500
Sydney,151.2026111,-33.87092043,93.41241287,0,1,0,0,6,3,3,4,Boutique hotel,Private room,362,0,0,flexible,2300
Prospect,150.906886,-33.79569418,99,52,3,200,40,2,1,0,1,Apartment,Entire home/apt,45,1,1,moderate,69
Cremorne,151.2305663,-33.82775399,98,21,4,150,110,2,1,0,1,Apartment,Entire home/apt,153,0,1,moderate,172
Marrickville,151.1543369,-33.90658992,93.41241287,0,1,0,0,2,0.5,1,1,House,Private room,0,0,0,moderate,51
Bondi Beach,151.2797074,-33.88963708,87,22,7,400,50,2,1,1,1,Other,Private room,365,1,0,strict_14_with_grace_period,40
Darlinghurst,151.2189488,-33.87624501,80,2,2,650,70,2,1,1,1,Apartment,Entire home/apt,0,0,0,flexible,150
Enmore,151.171812,-33.89775952,93,3,2,200,39,2,1,1,1,House,Private room,9,1,0,strict_14_with_grace_period,35
North Bondi,151.2788878,-33.88461449,93.41241287,0,7,1000,100,4,1,2,3,Apartment,Entire home/apt,0,1,0,flexible,419
Bondi,151.2626341,-33.89645464,90,8,14,250,50,2,1.5,1,1,Apartment,Entire home/apt,0,0,0,moderate,74
Lane Cove North,151.1484091,-33.80249948,93.41241287,0,14,0,0,2,1,1,1,Townhouse,Private room,0,0,0,flexible,41
Lavender Bay,151.2062405,-33.84508047,100,5,1,1000,40,4,2,2,2,Boat,Entire home/apt,0,0,0,strict_14_with_grace_period,366
Edgecliff,151.2322648,-33.87768058,100,3,2,0,0,2,1,1,1,Condominium,Entire home/apt,2,0,0,moderate,140
Avalon Beach,151.3349498,-33.62314401,100,3,2,500,90,4,1.5,2,2,House,Entire home/apt,353,1,1,moderate,200
Bondi Junction,151.2503544,-33.89120449,93.41241287,0,2,200,0,2,1,0,1,Apartment,Entire home/apt,181,0,0,flexible,188
Bondi Beach,151.2716421,-33.88837038,93.41241287,0,5,0,0,2,1,1,1,Apartment,Entire home/apt,0,0,0,flexible,250
Enmore,151.1750566,-33.90257176,93.41241287,0,3,200,0,2,1,1,1,Apartment,Private room,0,0,0,flexible,47
Manly,151.2888427,-33.79988396,93.41241287,0,6,0,0,2,1,0,1,Resort,Private room,184,0,0,flexible,275
Surry Hills,151.2161348,-33.88099533,100,1,2,0,0,2,1,1,1,Apartment,Private room,0,0,0,flexible,55
Wolli Creek,151.1540424,-33.92952784,100,3,3,0,0,2,1,1,1,Apartment,Entire home/apt,0,0,0,flexible,70
Coogee,151.2514769,-33.91564182,93,15,3,150,50,1,1,1,1,Apartment,Private room,210,1,0,strict_14_with_grace_period,57
Clovelly,151.2560832,-33.91123344,93.41241287,0,1,0,0,2,1,1,1,Apartment,Entire home/apt,0,1,0,flexible,244
Rose Bay,151.2701603,-33.86794153,93.41241287,1,19,500,120,4,1,2,2,Apartment,Entire home/apt,224,1,0,strict_14_with_grace_period,259
Freshwater,151.2878874,-33.77441639,100,1,2,0,0,2,1,0,1,Guest suite,Private room,0,0,0,flexible,63
Rydalmere,151.0412107,-33.81210275,100,4,1,0,0,2,1.5,1,1,Townhouse,Private room,80,0,0,flexible,45
Sydney,151.20675,-33.87802278,93.41241287,0,20,0,0,3,1,0,1,Apartment,Entire home/apt,0,0,0,flexible,200
Coogee,151.2528305,-33.91558548,96,11,1,200,155,6,1,2,3,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,200
Normanhurst,151.0894982,-33.72646771,93.41241287,0,1,0,0,2,1,1,1,Apartment,Private room,89,0,0,flexible,70
Double Bay,151.2444116,-33.87514894,100,3,5,500,352,6,3,3,3,House,Entire home/apt,344,1,0,strict_14_with_grace_period,600
Epping,151.0621963,-33.77356411,98,41,1,0,55,4,1,1,2,Guest suite,Entire home/apt,98,0,1,strict_14_with_grace_period,100
Double Bay,151.2395234,-33.87698678,99,20,6,1000,180,2,1,2,1,Apartment,Entire home/apt,346,0,0,strict_14_with_grace_period,250
Westmead,150.9926609,-33.80352045,89,7,2,0,0,4,1,2,2,Apartment,Entire home/apt,33,1,0,moderate,100
Chester Hill,150.9962579,-33.88702172,91,12,2,500,0,2,1,1,1,Villa,Private room,0,1,0,moderate,599
Zetland,151.2118332,-33.90608431,93.41241287,1,1,199,29,2,1,1,1,Apartment,Private room,0,0,0,flexible,49
Allawah/Carlton,151.1206406,-33.96944977,99,25,1,0,15,2,1,1,1,Apartment,Private room,307,0,1,flexible,59
Edgecliff,151.2468889,-33.88897738,100,1,7,200,30,2,1,1,1,Apartment,Private room,0,0,0,strict_14_with_grace_period,80
Manly,151.2940238,-33.80149011,73,9,1,200,60,5,1,2,2,Apartment,Entire home/apt,339,1,0,strict_14_with_grace_period,196
Rushcutters Bay,151.2278314,-33.87280741,86,7,3,0,160,4,1,2,2,Apartment,Entire home/apt,154,1,0,strict_14_with_grace_period,150
Burraneer/Cronulla,151.1346506,-34.0531028,95,172,1,130,0,2,1,1,1,Bungalow,Entire home/apt,219,1,1,strict_14_with_grace_period,111
Saint Ives Chase,151.160783,-33.70610724,94,7,1,200,50,2,1,1,1,Guest suite,Entire home/apt,350,0,0,strict_14_with_grace_period,80
Clovelly,151.2605185,-33.91044167,100,1,5,600,200,7,2,4,7,House,Entire home/apt,0,1,0,strict_14_with_grace_period,725
Sydney,151.2073804,-33.87809514,90,22,3,300,50,4,1,1,2,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,200
Freshwater,151.2819795,-33.77975215,93.41241287,0,1,0,0,1,1,1,1,Apartment,Private room,0,1,0,flexible,55
Glebe,151.1873168,-33.88104484,95,25,2,150,60,6,1.5,2,3,Townhouse,Entire home/apt,0,1,1,strict_14_with_grace_period,125
Kensington,151.2231241,-33.90825327,95,4,3,350,40,2,2,1,1,House,Private room,89,0,0,strict_14_with_grace_period,80
Blacktown,150.9036716,-33.75920872,97,8,2,0,0,2,1,1,1,House,Private room,116,0,0,strict_14_with_grace_period,35
Manly,151.2930415,-33.80200043,67,6,1,200,50,4,1,1,2,Apartment,Entire home/apt,340,1,0,strict_14_with_grace_period,246
Lilyfield,151.1621141,-33.87256942,93.41241287,0,5,0,0,2,1.5,1,1,House,Private room,32,1,0,strict_14_with_grace_period,49
North Bondi,151.2683608,-33.88471979,100,1,3,199,80,2,2,1,1,Apartment,Private room,365,1,0,strict_14_with_grace_period,120
Mascot,151.1967131,-33.94556272,93.41241287,0,1,0,0,2,1,1,1,Condominium,Private room,0,0,0,flexible,47
Bondi,151.2701916,-33.89618268,80,1,7,500,75,3,1,1,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,210
Bondi Beach,151.2736168,-33.89212414,90,2,2,0,30,2,1,1,1,Apartment,Private room,0,1,0,moderate,124
Darlinghurst,151.2221954,-33.87720808,98,8,2,500,70,4,1,2,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,225
South Hurstville,151.1115479,-33.97639642,93,14,1,0,25,6,1,3,4,House,Entire home/apt,311,0,0,moderate,179
Zetland,151.2116353,-33.91176881,95,4,1,200,120,10,2,2,5,Apartment,Entire home/apt,294,0,0,strict_14_with_grace_period,299
Maroubra,151.2489496,-33.94201277,93.41241287,0,1,1000,100,1,1.352336587,1,1,House,Private room,365,0,0,strict_14_with_grace_period,125
Bondi Beach,151.2749988,-33.8897057,91,11,1,0,0,2,1,0,2,Apartment,Entire home/apt,0,0,0,moderate,99
Bellevue Hill,151.2585679,-33.88804849,100,1,3,0,45,1,1,1,1,Apartment,Private room,50,1,0,strict_14_with_grace_period,90
Bellevue Hill,151.2455085,-33.87703663,95,13,5,500,300,7,2,4,4,Apartment,Entire home/apt,62,1,0,strict_14_with_grace_period,538
Waterloo,151.2135361,-33.89902426,100,6,5,500,100,2,1,1,1,Apartment,Private room,108,1,0,moderate,85
Chippendale,151.2011965,-33.88518009,97,64,2,350,95,3,1,0,2,Apartment,Entire home/apt,223,1,0,strict_14_with_grace_period,140
Woollahra,151.2434105,-33.88616057,93.41241287,0,2,0,50,4,2,2,2,Apartment,Entire home/apt,0,1,0,flexible,200
Bundeena,151.1582094,-34.0800695,100,16,2,0,0,2,1,1,1,Apartment,Private room,350,1,0,strict_14_with_grace_period,281
Dee Why,151.2944034,-33.75415811,93.41241287,0,1,0,0,2,1,1,1,Apartment,Private room,0,0,0,flexible,50
Haymarket,151.2029757,-33.8827726,89,7,7,250,150,3,1,1,1,Apartment,Entire home/apt,331,0,0,strict_14_with_grace_period,159
Elizabeth Bay,151.2286012,-33.87175778,80,1,10,1000,25,2,1,0,1,Apartment,Entire home/apt,0,1,0,moderate,139
Bondi,151.2634874,-33.88969993,87,3,2,200,60,5,2,2,2,Apartment,Entire home/apt,0,0,0,flexible,124
Redfern,151.2116061,-33.89261767,100,1,5,0,80,4,1,2,2,House,Entire home/apt,0,1,0,strict_14_with_grace_period,250
Bondi Beach,151.2704378,-33.88778771,93.41241287,0,7,0,0,3,1,1,2,Apartment,Private room,343,0,0,flexible,70
Maroubra,151.2423622,-33.93441593,98,16,2,0,0,4,1.5,3,3,House,Entire home/apt,247,0,1,moderate,140
Maroubra,151.2585054,-33.943557,96,5,2,0,0,2,1,1,1,Apartment,Entire home/apt,0,0,0,moderate,120
Camperdown,151.1795736,-33.88759257,100,2,3,0,25,2,2,1,1,Apartment,Private room,0,0,0,moderate,53
Lilyfield,151.1691436,-33.87603957,90,2,4,300,100,4,2,2,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,156
St Leonards,151.1972297,-33.8233868,97,50,2,300,20,2,1,0,1,Apartment,Entire home/apt,1,0,1,moderate,100
Zetland,151.2137038,-33.90481539,98,40,4,134,80,2,1,1,1,Condominium,Entire home/apt,191,0,1,strict_14_with_grace_period,140
Glebe,151.191931,-33.882537,80,4,3,500,201,2,1,1,2,Apartment,Entire home/apt,312,0,0,strict_14_with_grace_period,185
Darlington,151.1942774,-33.88985468,93,3,3,0,15,2,1,1,1,House,Private room,0,0,0,strict_14_with_grace_period,57
Maroubra,151.2457171,-33.93874012,100,1,1,0,0,1,1,1,1,House,Private room,0,1,0,moderate,40
Wollstonecraft,151.1988622,-33.83384865,100,1,1,500,40,2,1,1,1,Apartment,Private room,0,0,0,strict_14_with_grace_period,100
Bondi Beach,151.2714863,-33.89051212,88,55,2,500,175,5,1,3,3,Apartment,Entire home/apt,236,1,0,strict_14_with_grace_period,290
Sydney,151.2044518,-33.8681339,92,6,7,250,150,3,1,1,1,Apartment,Entire home/apt,364,0,0,strict_14_with_grace_period,155
Annandale,151.1731581,-33.87496498,94,16,2,1500,60,4,1,1,2,Apartment,Entire home/apt,151,1,0,strict_14_with_grace_period,130
Bondi Junction,151.2522303,-33.89236274,93.41241287,1,6,200,20,4,2,2,3,Apartment,Entire home/apt,365,0,0,flexible,600
Potts Point,151.2224299,-33.87317882,93,16,2,150,30,2,0.5,1,1,Apartment,Private room,10,1,0,moderate,70
Centennial Park,151.2311442,-33.89320473,93.41241287,0,4,150,50,2,1,1,1,Apartment,Entire home/apt,87,0,0,flexible,115
Vaucluse,151.279859,-33.86092593,80,5,28,240,0,2,1,1,1,Apartment,Private room,45,0,0,strict_14_with_grace_period,43
Dee Why,151.2940749,-33.75681297,100,3,1,0,0,2,1,1,1,Apartment,Entire home/apt,0,1,0,flexible,65
Mosman,151.2423446,-33.82351446,95,22,2,0,30,1,1,1,1,Apartment,Private room,34,0,0,moderate,59
Birchgrove,151.1780184,-33.85208729,96,19,1,400,175,4,2,2,2,House,Entire home/apt,8,0,1,strict_14_with_grace_period,185
Redfern,151.2140893,-33.89700018,100,1,1,0,0,2,1,1,1,Apartment,Private room,0,0,0,moderate,95
Ashfield,151.1240522,-33.8818835,93.41241287,0,1,0,0,1,1,1,1,House,Private room,0,0,0,flexible,41
Surry Hills,151.2071161,-33.88710636,100,2,4,0,0,2,1,1,1,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,180
Chippendale,151.2009201,-33.88707676,93.41241287,0,4,0,0,4,1,2,2,Apartment,Entire home/apt,0,1,0,moderate,150
Seaforth,151.2439168,-33.80173925,93.41241287,0,3,0,300,4,2,2,2,House,Entire home/apt,0,1,0,strict_14_with_grace_period,250
North Sydney,151.2062412,-33.84312928,64,9,5,132,0,2,1,1,1,Apartment,Private room,89,0,0,strict_14_with_grace_period,67
Putney,151.1094394,-33.82371996,95,41,1,300,30,3,1,1,1,Guesthouse,Entire home/apt,1,0,1,strict_14_with_grace_period,50
Glebe,151.1893731,-33.87787099,100,7,4,500,65,4,2,2,2,House,Entire home/apt,0,1,0,moderate,199
Surry Hills,151.2162594,-33.88398739,97,70,3,130,40,1,1,1,1,Apartment,Private room,32,1,1,moderate,50
Brighton-Le-Sands,151.1492936,-33.96146986,89,59,1,0,70,5,2.5,3,3,Townhouse,Entire home/apt,225,0,0,moderate,200
Maroubra,151.244513,-33.94486687,93.41241287,0,5,1000,290,8,2,4,6,House,Entire home/apt,24,0,0,strict_14_with_grace_period,451
Surry Hills,151.21151,-33.88858528,96,25,6,0,0,2,1,1,2,Apartment,Entire home/apt,8,0,1,strict_14_with_grace_period,104
Bondi,151.2632536,-33.89384132,93.41241287,0,2,0,50,2,1,1,1,Apartment,Entire home/apt,340,0,0,flexible,150
Yowie Bay,151.1053287,-34.0459681,99,42,1,0,0,1,1,1,1,House,Private room,48,1,0,flexible,42
Darlinghurst,151.2169597,-33.87962373,100,2,2,350,0,2,1,1,1,House,Entire home/apt,0,1,0,strict_14_with_grace_period,501
Bondi,151.2608866,-33.8909201,94,8,2,0,20,2,1,1,1,Apartment,Private room,0,1,0,strict_14_with_grace_period,55
Redfern,151.2128281,-33.8960321,90,2,2,0,100,4,1,2,3,House,Entire home/apt,0,1,0,flexible,250
Randwick,151.245413,-33.90972567,88,10,2,0,60,2,1,1,1,Apartment,Private room,5,0,0,flexible,59
Palm Beach,151.3228845,-33.60169446,93.41241287,0,2,1000,150,6,1.5,2,4,Apartment,Entire home/apt,346,0,0,strict_14_with_grace_period,395
Rushcutters Bay,151.2265626,-33.87541617,95,114,1,1000,70,2,1,1,0,Apartment,Entire home/apt,283,1,0,strict_14_with_grace_period,90
Bondi Beach,151.268348,-33.89070098,93.41241287,0,1,0,18,2,1,1,1,Condominium,Private room,0,1,0,moderate,32
Stanmore,151.1636752,-33.89717203,80,1,1,0,0,1,1,1,1,Apartment,Private room,0,0,0,flexible,80
Bexley,151.1286897,-33.95835651,99,39,4,300,75,6,1,2,5,Guest suite,Entire home/apt,269,1,1,strict_14_with_grace_period,130
Darlington,151.1965561,-33.89059068,97,25,4,500,100,2,1,1,1,Apartment,Entire home/apt,52,1,0,strict_14_with_grace_period,170
Alexandria,151.1912368,-33.90396449,93,81,2,0,20,2,1,1,1,House,Private room,52,1,0,strict_14_with_grace_period,76
Kurraba Point,151.2233295,-33.84110174,93.41241287,0,4,1000,670,10,5,6,6,House,Entire home/apt,32,1,0,strict_14_with_grace_period,1144
Randwick,151.2455639,-33.91174205,70,3,3,349,0,1,1,1,1,Apartment,Private room,88,0,0,moderate,90
Wolli Creek,151.151245,-33.93021487,96,6,7,0,0,4,2,1,2,Apartment,Entire home/apt,6,1,0,strict_14_with_grace_period,104
Balmain,151.1784297,-33.85805604,100,2,2,0,50,4,2,2,2,House,Entire home/apt,0,0,0,moderate,162
Pyrmont,151.1966194,-33.87033546,96,10,2,0,180,6,2,2,2,Apartment,Entire home/apt,188,0,1,strict_14_with_grace_period,260
Bondi,151.2674352,-33.89349239,99,23,2,500,120,4,1,2,2,Apartment,Entire home/apt,47,0,0,moderate,200
Surry Hills,151.2096251,-33.88943816,93.41241287,0,2,0,0,1,1,1,1,Apartment,Shared room,0,0,0,flexible,38
Maroubra,151.2543444,-33.94689768,93.41241287,0,7,250,100,6,2,4,6,House,Entire home/apt,222,0,0,strict_14_with_grace_period,451
North Bondi,151.2716362,-33.88121184,100,1,4,150,120,2,1,1,1,Apartment,Entire home/apt,0,1,0,flexible,150
Granville,151.0049317,-33.82433103,90,6,1,0,0,2,1,1,1,House,Private room,0,1,0,moderate,40
Cronulla,151.1494966,-34.05100883,97,25,4,400,90,4,1,2,2,Apartment,Entire home/apt,0,1,1,strict_14_with_grace_period,160
North Bondi,151.2826182,-33.88728843,93.41241287,0,4,500,50,2,1,1,1,Apartment,Private room,89,0,0,moderate,170
Rushcutters Bay,151.2262004,-33.87464182,100,3,1,0,0,2,1,0,1,Apartment,Entire home/apt,0,0,0,moderate,150
Hunters Hill,151.141466,-33.83081668,92,12,3,0,0,4,1,2,3,Apartment,Entire home/apt,340,1,0,flexible,179
Balgowlah,151.2615219,-33.79442727,90,4,1,0,50,5,1,1,3,House,Private room,142,0,0,strict_14_with_grace_period,140
Waterloo,151.2147548,-33.89794169,93.41241287,0,1,1000,150,2,1,1,1,Apartment,Entire home/apt,0,0,0,flexible,124
Glebe,151.1875714,-33.87883582,97,8,4,1500,150,4,1.5,2,2,Townhouse,Entire home/apt,365,1,0,strict_14_with_grace_period,299
Dulwich Hill,151.1409784,-33.90341254,87,3,4,0,65,2,1,2,2,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,73
Redfern,151.2093071,-33.89515129,93.41241287,0,7,0,0,2,1,1,1,Townhouse,Private room,0,1,0,flexible,45
Camperdown,151.1797596,-33.8842795,93.41241287,0,4,500,50,4,1,1,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,130
South Coogee,151.2504359,-33.93668619,100,13,5,500,220,8,3,4,4,House,Entire home/apt,63,0,0,moderate,550
Woollahra,151.2420804,-33.88765636,93.41241287,0,4,450,0,4,1,2,2,House,Entire home/apt,365,1,0,strict_14_with_grace_period,486
Waterloo,151.2013673,-33.9003982,95,22,2,0,0,2,1,1,1,Apartment,Private room,0,0,0,strict_14_with_grace_period,95
Bronte,151.2659188,-33.90017716,100,1,7,0,150,8,2.5,4,6,House,Entire home/apt,9,0,0,strict_14_with_grace_period,800
North Rocks,151.013165,-33.76275036,98,17,2,0,75,2,1,1,1,Apartment,Private room,308,1,0,flexible,80
Auburn,151.028306,-33.85077154,98,41,1,150,18,1,0,1,1,House,Private room,90,0,1,strict_14_with_grace_period,28
Campsie,151.1009801,-33.91367695,80,1,2,0,0,2,1,1,1,House,Private room,0,1,0,flexible,100
Maroubra,151.2390453,-33.94190722,100,2,9,500,50,2,1,1,1,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,91
Petersham,151.1589364,-33.88814793,97,94,2,200,0,2,1,1,1,House,Private room,65,1,1,moderate,59
Bondi Beach,151.2771259,-33.88882122,95,98,3,500,130,4,1,2,2,Apartment,Entire home/apt,13,0,1,strict_14_with_grace_period,600
Tamarama,151.273142,-33.89861233,100,1,2,0,50,2,1,1,1,Apartment,Entire home/apt,0,0,0,flexible,160
Bondi Beach,151.2731887,-33.88879607,99,32,2,2000,350,12,3,5,5,Villa,Entire home/apt,306,1,1,strict_14_with_grace_period,1600
Coogee,151.2552681,-33.92545811,99,61,1,600,125,6,1,2,4,Apartment,Entire home/apt,301,0,1,moderate,286
Berowra Waters,151.1212587,-33.60164489,100,3,1,500,0,8,3,4,4,House,Entire home/apt,365,0,0,strict_14_with_grace_period,800
Darling Point,151.2356136,-33.87714483,90,62,2,300,60,4,1,2,2,Apartment,Entire home/apt,81,0,0,moderate,299
Northbridge,151.2165597,-33.80851052,100,1,7,0,200,8,2.5,4,4,House,Entire home/apt,90,0,0,flexible,451
Glebe,151.1863725,-33.87648002,93.41241287,0,3,150,30,2,1,2,1,Apartment,Private room,1,0,0,strict_14_with_grace_period,70
Manly,151.2852283,-33.78782373,75,4,3,0,0,2,1,1,1,Guesthouse,Private room,316,0,0,moderate,98
Chatswood,151.1904377,-33.79567578,95,8,3,300,45,2,3,1,2,House,Private room,89,0,0,strict_14_with_grace_period,55
Pyrmont,151.1932786,-33.8682367,73,3,1,500,80,8,1,3,4,House,Entire home/apt,66,0,0,strict_14_with_grace_period,500
Macquarie Park,151.113398,-33.78088584,100,4,3,0,0,2,1,1,1,Apartment,Private room,0,0,1,flexible,35
Bondi Beach,151.2756459,-33.88949719,93.41241287,0,1,300,50,2,2.5,1,3,Apartment,Private room,0,0,0,flexible,148
Toongabbie,150.9513365,-33.78686282,93.41241287,0,1,0,0,2,1,1,1,Townhouse,Private room,0,0,0,flexible,41
Maroubra,151.2477816,-33.94970388,85,4,9,0,0,2,1,1,1,Townhouse,Private room,0,0,0,flexible,60
Brookvale,151.2710508,-33.76481917,93.41241287,0,3,0,0,1,1,1,1,Apartment,Private room,87,0,0,flexible,70
Roseville,151.1732934,-33.79150251,100,1,6,1000,0,8,2,4,6,House,Entire home/apt,94,0,0,strict_14_with_grace_period,401
Potts Point,151.2266927,-33.8745449,92,15,6,0,50,2,1,1,1,Apartment,Entire home/apt,23,1,0,flexible,120
Kingsford,151.2265586,-33.92063313,93.41241287,0,7,0,0,2,1,1,2,Apartment,Private room,0,0,0,flexible,86
Manly,151.2856166,-33.78921381,80,7,3,0,0,4,1,1,3,Other,Private room,346,0,0,moderate,120
Bronte,151.2662512,-33.89968149,93.41241287,0,1,0,0,1,1,1,1,House,Private room,0,0,0,flexible,35
Revesby,151.0215012,-33.9426676,90,21,2,0,50,2,1,1,1,House,Entire home/apt,173,1,0,strict_14_with_grace_period,90
Coogee,151.2506425,-33.92708611,93.41241287,0,7,0,80,3,1,2,2,Apartment,Entire home/apt,0,0,0,flexible,139
Bondi Beach,151.2727686,-33.89258641,80,1,4,0,50,2,1,1,1,Apartment,Entire home/apt,0,0,0,strict_14_with_grace_period,152
Vaucluse,151.2807122,-33.85666398,93.41241287,0,3,0,0,5,1,3,4,Apartment,Entire home/apt,0,0,0,moderate,250
Freshwater,151.2822449,-33.77973481,97,8,4,0,20,2,1,1,1,Apartment,Entire home/apt,0,0,0,moderate,100
Waterloo,151.2131718,-33.90053714,98,12,2,300,50,2,1,1,1,Apartment,Private room,279,0,1,strict_14_with_grace_period,135
Rozelle,151.1697928,-33.86853235,96,22,2,400,95,4,1,2,2,House,Entire home/apt,290,0,0,strict_14_with_grace_period,200
Ryde,151.0976625,-33.81996138,95,4,1,0,0,2,1,1,1,Apartment,Private room,0,0,0,flexible,80
Vaucluse,151.2797912,-33.85685489,93.41241287,0,7,2500,500,8,4,4,5,House,Entire home/apt,271,1,0,strict_14_with_grace_period,900
Arncliffe,151.1508399,-33.93678714,93.41241287,0,3,0,0,4,1,2,3,House,Private room,0,1,0,flexible,170
Maroubra,151.2391754,-33.93854196,93.41241287,1,21,200,0,2,2,1,1,Apartment,Private room,0,0,0,strict_14_with_grace_period,51
Camperdown,151.1805916,-33.88852771,60,1,1,0,0,2,1,1,2,Bed and breakfast,Shared room,0,0,0,flexible,32
Coogee,151.2591806,-33.91896567,90,2,2,250,0,2,1,1,1,Apartment,Private room,90,1,0,strict_14_with_grace_period,169
Harris Park,151.0121371,-33.82497598,93.41241287,0,1,0,0,2,1,1,1,Apartment,Private room,0,0,0,strict_14_with_grace_period,41
Manly,151.2806843,-33.79508277,97,6,2,500,125,6,1,3,3,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,200
Vaucluse,151.2850071,-33.8484161,95,4,1,0,20,2,2,1,1,House,Private room,89,0,0,flexible,120
Wolli Creek,151.1492428,-33.9286937,100,5,3,250,100,4,2,2,2,Apartment,Entire home/apt,130,1,0,strict_14_with_grace_period,150
Bexley,151.1188012,-33.94709779,93.41241287,1,1,0,0,2,1,1,2,House,Private room,218,1,0,flexible,45
Erskineville,151.1876235,-33.90543457,96,61,1,0,0,2,1,1,2,Townhouse,Private room,65,0,1,flexible,70
Queens Park,151.2535424,-33.90036145,90,2,7,1000,100,6,3,4,4,House,Entire home/apt,235,0,0,strict_14_with_grace_period,600
Clovelly,151.2548016,-33.90690991,96,9,5,1250,45,2,1,1,1,Apartment,Entire home/apt,365,1,0,moderate,175
Surry Hills,151.2171756,-33.88653441,99,31,2,350,60,2,1,0,1,Apartment,Entire home/apt,105,1,0,moderate,94
Erskineville,151.1840986,-33.90554201,98,55,2,0,0,2,1,1,1,Apartment,Private room,83,1,1,flexible,76
Randwick,151.2452737,-33.91865559,97,17,2,0,0,1,1,1,1,Apartment,Private room,69,1,0,flexible,90
Manly,151.2868115,-33.79742173,100,9,6,0,0,3,1,1,1,Apartment,Entire home/apt,192,1,1,strict_14_with_grace_period,265
Newtown,151.176705,-33.90349012,98,10,2,130,120,5,1,2,2,Apartment,Entire home/apt,122,0,0,strict_14_with_grace_period,159
Tamarama,151.27088,-33.89724679,93.41241287,0,10,500,50,2,1,1,1,Apartment,Private room,0,0,0,moderate,233
Coogee,151.2515799,-33.92726873,90,4,5,0,0,4,1,1,2,Apartment,Entire home/apt,171,1,0,strict_14_with_grace_period,100
Lane Cove West,151.1479071,-33.80389506,93.41241287,0,10,200,0,4,2,2,3,Apartment,Entire home/apt,5,0,0,moderate,92
Leichhardt,151.1566118,-33.87537195,98,109,1,0,0,2,1.5,1,1,House,Private room,339,1,1,strict_14_with_grace_period,85
Turramurra,151.1266093,-33.73656982,93.41241287,0,2,0,0,3,1,1,3,Other,Entire home/apt,0,0,0,flexible,100
Queens Park,151.2476075,-33.90445521,100,3,3,1500,20,3,1,2,2,Apartment,Entire home/apt,0,1,0,strict_14_with_grace_period,85
Kellyville,150.9596989,-33.72837321,96,5,2,0,10,1,1,1,1,House,Private room,218,0,0,moderate,27
Darlinghurst,151.2164844,-33.87879533,93.41241287,0,1,0,0,2,1,1,1,Loft,Entire home/apt,0,0,0,flexible,139
Penshurst,151.0826046,-33.96112291,98,48,1,0,10,2,1,1,1,House,Private room,78,1,0,flexible,70
Bondi,151.2706298,-33.89645155,100,8,2,0,15,2,1,0,1,Loft,Entire home/apt,0,1,0,moderate,124
Arncliffe,151.1498793,-33.93784615,80,4,7,0,150,3,1,2,3,House,Entire home/apt,83,0,0,strict_14_with_grace_period,85
Cammeray,151.2193987,-33.82057471,100,4,5,1100,150,6,2,3,4,Apartment,Entire home/apt,22,0,0,strict_14_with_grace_period,206
Maroubra,151.2441532,-33.94292284,96,5,2,0,0,2,2,3,1,House,Private room,18,0,0,flexible,62
Coogee,151.2575533,-33.92373803,95,68,2,600,150,7,1,2,4,Apartment,Entire home/apt,363,1,0,moderate,333
Gladesville,151.1272586,-33.8333263,93,78,1,0,69,6,2,2,3,Apartment,Entire home/apt,1,1,1,moderate,147
Darlinghurst,151.2136977,-33.87598654,80,2,2,500,0,6,1,1,4,Apartment,Entire home/apt,365,1,0,strict_14_with_grace_period,239
McMahons Point,151.2051273,-33.84820363,98,47,3,500,100,2,1,0,1,Apartment,Entire home/apt,157,1,1,moderate,200
